accession,taxid,superkingdom,phylum,class,order,family,genus,species
NC_025624.1,3036909,NA,Chordata,Aves,Passeriformes,Fringillidae,Akialoa,Akialoa stejnegeri
NC_025623.1,64802,NA,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia curvirostra
NC_025622.1,1523893,NA,Chordata,Aves,Passeriformes,Fringillidae,Magumma,Magumma parva
NC_025621.1,163845,NA,Chordata,Aves,Passeriformes,Fringillidae,Crithagra,Crithagra dorsostriata
NC_025620.1,3149790,NA,Chordata,Aves,Passeriformes,Fringillidae,Drepanis,Drepanis coccinea
NC_025618.1,98964,NA,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis
NC_025617.1,385245,NA,Chordata,Aves,Passeriformes,Fringillidae,Melamprosops,Melamprosops phaeosoma
NC_025616.1,589913,NA,Chordata,Aves,Passeriformes,Fringillidae,Bucanetes,Bucanetes mongolicus
NC_025614.1,37609,NA,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes coccothraustes
NC_025613.1,372289,NA,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous cassinii
NC_025612.1,64804,NA,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops coccineus
NC_025611.1,48849,NA,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus
NC_025610.1,30427,NA,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus
NC_025609.1,175947,NA,Chordata,Aves,Passeriformes,Fringillidae,Pinicola,Pinicola enucleator
NC_025608.1,591142,NA,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,Chlorodrepanis flava
NC_025607.1,175933,NA,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus roseus
NC_025606.1,62165,NA,Chordata,Aves,Passeriformes,Thraupidae,Chlorophanes,Chlorophanes spiza
NC_025605.1,509921,NA,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops caeruleirostris
NC_025604.1,571888,NA,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte brandti
NC_025602.1,64801,NA,Chordata,Aves,Passeriformes,Fringillidae,Himatione,Himatione sanguinea
NC_025601.1,64811,NA,Chordata,Aves,Passeriformes,Fringillidae,Paroreomyza,Paroreomyza montana
NC_025600.1,670343,NA,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,Hesperiphona vespertina
NC_025598.1,1523895,NA,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops mana
NC_025597.1,175930,NA,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus erythrinus
